dataset,variant,ir,seed,classifier,auprc,auroc,f1,balanced_acc
S1,GMR-ModelAgnostic,20,42,LR,0.0690090020757957,0.6382823871906841,0.15384615384615385,0.6499272197962154
S1,GMR-ModelAgnostic,20,42,DT,0.2605271246350085,0.6995997088791849,0.47619047619047616,0.6995997088791849
S1,GMR-ModelAgnostic,20,42,XGB,0.46485602609228677,0.8759097525473072,0.42105263157894735,0.6601164483260553
S1,GMR-ModelAgnostic,20,0,KNN,0.27769133241124944,0.7432678311499273,0.4444444444444444,0.6622998544395924
S1,GMR-ModelAgnostic,20,0,RF,0.37403156099582974,0.8331513828238719,0.375,0.6228165938864629
S1,GMR-ModelAgnostic,20,0,LR,0.06169950990686439,0.5953420669577875,0.09345794392523364,0.5118267831149927
S1,GMR-ModelAgnostic,20,0,DT,0.10552621652206715,0.6075327510917031,0.2608695652173913,0.607532751091703
S1,GMR-ModelAgnostic,20,0,XGB,0.36981686478010006,0.908296943231441,0.25,0.5789665211062591
S1,GMR-ModelAgnostic,20,1,KNN,0.12398202196036884,0.6293668122270742,0.2,0.5702328966521106
S1,GMR-ModelAgnostic,20,1,RF,0.16862228971621948,0.7594614264919942,0.18181818181818182,0.5658660844250364
S1,GMR-ModelAgnostic,20,1,LR,0.06743304577993978,0.6330058224163029,0.13559322033898305,0.6193595342066958
S1,GMR-ModelAgnostic,20,1,DT,0.09091582691167753,0.6009825327510917,0.23076923076923078,0.6009825327510917
S1,GMR-ModelAgnostic,20,1,XGB,0.1734635847977171,0.6297307132459972,0.24,0.6031659388646289
S1,GMR-ModelAgnostic,20,2,KNN,0.24936716503106543,0.7143377001455604,0.23529411764705882,0.576783114992722
S1,GMR-ModelAgnostic,20,2,RF,0.26734245986839344,0.7665574963609897,0.2222222222222222,0.5745997088791849
S1,GMR-ModelAgnostic,20,2,LR,0.06068966025245654,0.5884279475982532,0.11650485436893204,0.564410480349345
S1,GMR-ModelAgnostic,20,2,DT,0.06927155371138774,0.5614992721979621,0.16666666666666666,0.5614992721979621
S1,GMR-ModelAgnostic,20,2,XGB,0.2726960621393865,0.809315866084425,0.34782608695652173,0.6513828238719068
S1,GMR-ModelAgnostic,20,3,KNN,0.3493373014465683,0.7963973799126638,0.3333333333333333,0.6184497816593886
S1,GMR-ModelAgnostic,20,3,RF,0.2770616612468753,0.8393377001455604,0.3,0.6140829694323144
S1,GMR-ModelAgnostic,20,3,LR,0.04654797765350168,0.470160116448326,0.08108108108108109,0.4661572052401747
S1,GMR-ModelAgnostic,20,3,DT,0.16793453204241587,0.6864992721979621,0.37037037037037035,0.6864992721979621
S1,GMR-ModelAgnostic,20,3,XGB,0.267727953440648,0.8871906841339154,0.2,0.5702328966521106
S1,GMR-ModelAgnostic,50,42,KNN,0.02666666666666667,0.5591489361702127,0.0,0.5
S1,GMR-ModelAgnostic,50,42,RF,0.06129536921151439,0.7085106382978723,0.0,0.5
S1,GMR-ModelAgnostic,50,42,LR,0.03494323834095218,0.651063829787234,0.07407407407407407,0.6893617021276596
S1,GMR-ModelAgnostic,50,42,DT,0.020833333333333332,0.48936170212765956,0.0,0.48936170212765956
S1,GMR-ModelAgnostic,50,42,XGB,0.07921012849584279,0.7238297872340426,0.0,0.5
S1,GMR-ModelAgnostic,50,0,KNN,0.400530303030303,0.88,0.0,0.4978723404255319
S1,GMR-ModelAgnostic,50,0,RF,0.3156060606060606,0.7514893617021278,0.3333333333333333,0.6
S1,GMR-ModelAgnostic,50,0,LR,0.02877274116933897,0.5948936170212766,0.04040404040404041,0.5042553191489362
S1,GMR-ModelAgnostic,50,0,DT,0.020833333333333332,0.4957446808510638,0.0,0.4957446808510638
S1,GMR-ModelAgnostic,50,0,XGB,0.4146679561573179,0.8514893617021277,0.3333333333333333,0.6
S1,GMR-ModelAgnostic,50,1,KNN,0.12717391304347825,0.7629787234042553,0.0,0.4978723404255319
S1,GMR-ModelAgnostic,50,1,RF,0.26412280701754387,0.7365957446808512,0.3333333333333333,0.6
S1,GMR-ModelAgnostic,50,1,LR,0.022041938404284665,0.4659574468085107,0.041379310344827586,0.5085106382978724
S1,GMR-ModelAgnostic,50,1,DT,0.05,0.5893617021276595,0.18181818181818182,0.5893617021276596
S1,GMR-ModelAgnostic,50,1,XGB,0.32545304158207383,0.8923404255319148,0.3333333333333333,0.6
S1,GMR-ModelAgnostic,50,2,KNN,0.05694444444444444,0.6642553191489361,0.0,0.5
S1,GMR-ModelAgnostic,50,2,RF,0.07902298850574713,0.7246808510638298,0.0,0.5
S1,GMR-ModelAgnostic,50,2,LR,0.02632522903453136,0.5429787234042553,0.058823529411764705,0.6
S1,GMR-ModelAgnostic,50,2,DT,0.05,0.5872340425531914,0.18181818181818182,0.5893617021276596
S1,GMR-ModelAgnostic,50,2,XGB,0.068310982157136,0.6778723404255319,0.0,0.5
S1,GMR-ModelAgnostic,50,3,KNN,0.17083333333333334,0.8625531914893617,0.0,0.5
S1,GMR-ModelAgnostic,50,3,RF,0.49602122015915123,0.9697872340425531,0.0,0.5
S1,GMR-ModelAgnostic,50,3,LR,0.02628699584444499,0.5472340425531915,0.06060606060606061,0.6382978723404256
S1,GMR-ModelAgnostic,50,3,DT,0.020833333333333332,0.49361702127659574,0.0,0.49361702127659574
S1,GMR-ModelAgnostic,50,3,XGB,0.24572649572649574,0.9557446808510638,0.0,0.4978723404255319
S1,GMR-Competitive,5,42,KNN,0.46450176991649283,0.8144047619047621,0.5,0.7063095238095238
S1,GMR-Competitive,5,42,RF,0.5236306478165544,0.8261904761904761,0.5376344086021505,0.7326190476190476
S1,GMR-Competitive,5,42,LR,0.20409578016680624,0.6269047619047619,0.3724137931034483,0.6314285714285715
S1,GMR-Competitive,5,42,DT,0.3510206203173613,0.7276190476190476,0.5263157894736842,0.7276190476190476
S1,GMR-Competitive,5,42,XGB,0.536416602133466,0.8302380952380952,0.5591397849462365,0.7470238095238095
S1,GMR-Competitive,5,0,KNN,0.4923936290294977,0.84625,0.6046511627906976,0.7645238095238096
S1,GMR-Competitive,5,0,RF,0.5443847686674528,0.8583928571428572,0.5393258426966292,0.7282142857142857
S1,GMR-Competitive,5,0,LR,0.201442926976089,0.621547619047619,0.3111111111111111,0.5700000000000001
S1,GMR-Competitive,5,0,DT,0.4035302520151005,0.7683333333333333,0.5833333333333334,0.7683333333333333
S1,GMR-Competitive,5,0,XGB,0.5558010245423073,0.8508928571428572,0.5777777777777777,0.7545238095238096
S1,GMR-Competitive,5,1,KNN,0.4567625302438876,0.8149404761904762,0.5747126436781609,0.7476190476190476
S1,GMR-Competitive,5,1,RF,0.5323883128939088,0.8445833333333334,0.5617977528089888,0.7426190476190476
S1,GMR-Competitive,5,1,LR,0.2207347125476572,0.6675,0.38571428571428573,0.6439285714285714
S1,GMR-Competitive,5,1,DT,0.395774679865589,0.7589285714285714,0.574468085106383,0.7589285714285714
S1,GMR-Competitive,5,1,XGB,0.5727370468035243,0.8552380952380952,0.5393258426966292,0.7282142857142857
S1,GMR-Competitive,5,2,KNN,0.4180938857488723,0.7748214285714285,0.5348837209302325,0.7213095238095238
S1,GMR-Competitive,5,2,RF,0.4233423391567071,0.7869642857142858,0.5238095238095238,0.7119047619047619
S1,GMR-Competitive,5,2,LR,0.21274661656596308,0.6370238095238094,0.39473684210526316,0.6571428571428571
S1,GMR-Competitive,5,2,DT,0.33811642902551997,0.7157142857142857,0.5106382978723404,0.7157142857142857
S1,GMR-Competitive,5,2,XGB,0.4424615144548135,0.7958333333333333,0.5393258426966292,0.7282142857142857
S1,GMR-Competitive,5,3,KNN,0.5672890026274414,0.8405952380952382,0.5866666666666667,0.7344047619047619
S1,GMR-Competitive,5,3,RF,0.6823730778825121,0.88125,0.5609756097560976,0.7313095238095239
S1,GMR-Competitive,5,3,LR,0.18739285886073415,0.5838690476190476,0.3333333333333333,0.5895238095238096
S1,GMR-Competitive,5,3,DT,0.40856757684610684,0.7570238095238095,0.5842696629213483,0.7570238095238095
S1,GMR-Competitive,5,3,XGB,0.6651039580914707,0.8879761904761905,0.5476190476190477,0.7263095238095238
S1,GMR-Competitive,10,42,KNN,0.6129884250937832,0.899680893498205,0.6382978723404256,0.8054447546868768
S1,GMR-Competitive,10,42,RF,0.6673061230697084,0.9063621858795373,0.5581395348837209,0.7425209413641802
S1,GMR-Competitive,10,42,LR,0.11408852275299897,0.6149780614280016,0.21705426356589147,0.5933386517750299
S1,GMR-Competitive,10,42,DT,0.3880919264634849,0.813422417231751,0.5925925925925926,0.813422417231751
S1,GMR-Competitive,10,42,XGB,0.6187762515113296,0.9049660949341842,0.5106382978723404,0.7333466294375748
S1,GMR-Competitive,10,0,KNN,0.2704874023250105,0.7920821699242121,0.23529411764705882,0.5709014758675708
S1,GMR-Competitive,10,0,RF,0.35818894214289865,0.8820303151176706,0.2564102564102564,0.5834662943757479
S1,GMR-Competitive,10,0,LR,0.12038773540613007,0.6390107698444356,0.23255813953488372,0.6173713601914639
S1,GMR-Competitive,10,0,DT,0.2086937531452662,0.6486836856800957,0.38095238095238093,0.6486836856800957
S1,GMR-Competitive,10,0,XGB,0.3356565719807224,0.8742520941364181,0.35,0.6292381332269645
S1,GMR-Competitive,10,1,KNN,0.25183439228597704,0.7869964100518547,0.23255813953488372,0.5742919824491424
S1,GMR-Competitive,10,1,RF,0.32602688272354685,0.7944754686876746,0.2,0.5571400079776625
S1,GMR-Competitive,10,1,LR,0.1275747795865661,0.6551655364978061,0.256,0.6505783805345033
S1,GMR-Competitive,10,1,DT,0.15499428708882074,0.6234543278819306,0.3018867924528302,0.6234543278819307
S1,GMR-Competitive,10,1,XGB,0.3297193059346005,0.7528919026725169,0.3111111111111111,0.6177702433187076
S1,GMR-Competitive,10,2,KNN,0.25670818844433224,0.7180893498205025,0.4,0.6532708416433985
S1,GMR-Competitive,10,2,RF,0.3113807787158407,0.757179896290387,0.32558139534883723,0.6223573992820104
S1,GMR-Competitive,10,2,LR,0.12124540712534213,0.6315317112086158,0.2698412698412698,0.672317510969286
S1,GMR-Competitive,10,2,DT,0.14880028865235428,0.5983246908655764,0.27906976744186046,0.5983246908655764
S1,GMR-Competitive,10,2,XGB,0.2634780233846376,0.721679297965696,0.425531914893617,0.6852812126047069
S1,GMR-Competitive,10,3,KNN,0.3052393875998265,0.7250698045472677,0.4,0.6407060231352214
S1,GMR-Competitive,10,3,RF,0.36093171948050207,0.7704427602712406,0.35294117647058826,0.6189668927004388
S1,GMR-Competitive,10,3,LR,0.11620901598768381,0.6236537694455524,0.2714285714285714,0.6882728360590347
S1,GMR-Competitive,10,3,DT,0.17354501172650189,0.6349222177901875,0.3333333333333333,0.6349222177901874
S1,GMR-Competitive,10,3,XGB,0.3728009435247301,0.7912844036697247,0.34285714285714286,0.6166733147187874
S1,GMR-Competitive,20,42,KNN,0.32864657242250606,0.7843886462882096,0.26666666666666666,0.5811499272197962
S1,GMR-Competitive,20,42,RF,0.4591777733863235,0.8846433770014556,0.47058823529411764,0.6644832605531296
S1,GMR-Competitive,20,42,LR,0.06919133017887519,0.6390101892285298,0.15384615384615385,0.6499272197962154
S1,GMR-Competitive,20,42,DT,0.07482710926694329,0.5658660844250364,0.18181818181818182,0.5658660844250364
S1,GMR-Competitive,20,42,XGB,0.4263736683541972,0.826783114992722,0.38095238095238093,0.6557496360989811
S1,GMR-Competitive,20,0,KNN,0.3023117960877297,0.7765647743813682,0.4444444444444444,0.6622998544395924
S1,GMR-Competitive,20,0,RF,0.35862231196931765,0.8977438136826783,0.26666666666666666,0.5811499272197962
S1,GMR-Competitive,20,0,LR,0.061419483896033925,0.5931586608442503,0.09433962264150944,0.5140101892285298
S1,GMR-Competitive,20,0,DT,0.09984439834024897,0.605349344978166,0.25,0.605349344978166
S1,GMR-Competitive,20,0,XGB,0.44945383527977995,0.926128093158661,0.38095238095238093,0.6557496360989811
S1,GMR-Competitive,20,1,KNN,0.1790151458166711,0.6613901018922853,0.2222222222222222,0.5745997088791849
S1,GMR-Competitive,20,1,RF,0.17256534494401116,0.7296215429403203,0.16,0.5593158660844251
S1,GMR-Competitive,20,1,LR,0.06769334443218032,0.6344614264919942,0.13675213675213677,0.6215429403202328
S1,GMR-Competitive,20,1,DT,0.08421939834024897,0.5949781659388647,0.20689655172413793,0.5944323144104804
S1,GMR-Competitive,20,1,XGB,0.13840304960581865,0.6664847161572052,0.23076923076923078,0.6009825327510917
S1,GMR-Competitive,20,2,KNN,0.2951355623554794,0.7450873362445416,0.35294117647058826,0.6206331877729258
S1,GMR-Competitive,20,2,RF,0.28461128880388903,0.7543668122270742,0.3,0.6140829694323144
S1,GMR-Competitive,20,2,LR,0.06068966025245654,0.5884279475982532,0.11650485436893204,0.564410480349345
S1,GMR-Competitive,20,2,DT,0.0671348015746356,0.5593158660844251,0.16,0.5593158660844251
S1,GMR-Competitive,20,2,XGB,0.2089177740363305,0.780749636098981,0.2,0.5702328966521106
S1,GMR-Competitive,20,3,KNN,0.27239726617319976,0.7740174672489082,0.3333333333333333,0.6184497816593886
S1,GMR-Competitive,20,3,RF,0.28348341213674627,0.8275109170305677,0.2,0.5702328966521106
S1,GMR-Competitive,20,3,LR,0.046514490293518444,0.4697962154294032,0.08,0.46179039301310043
S1,GMR-Competitive,20,3,DT,0.09091582691167753,0.6009825327510917,0.23076923076923078,0.6009825327510917
S1,GMR-Competitive,20,3,XGB,0.28827685201950265,0.8620815138282386,0.43478260869565216,0.6952328966521106
S1,GMR-Competitive,50,42,KNN,0.02619047619047619,0.5570212765957447,0.0,0.5
S1,GMR-Competitive,50,42,RF,0.0425,0.5961702127659574,0.0,0.5
S1,GMR-Competitive,50,42,LR,0.03483394872346584,0.6502127659574468,0.07339449541284404,0.6872340425531915
S1,GMR-Competitive,50,42,DT,0.020833333333333332,0.49361702127659574,0.0,0.49361702127659574
S1,GMR-Competitive,50,42,XGB,0.07538819964827545,0.7617021276595745,0.0,0.4978723404255319
S1,GMR-Competitive,50,0,KNN,0.39749999999999996,0.8782978723404256,0.0,0.4978723404255319
S1,GMR-Competitive,50,0,RF,0.29833333333333334,0.745531914893617,0.0,0.5
S1,GMR-Competitive,50,0,LR,0.028862038063872927,0.5965957446808511,0.04040404040404041,0.5042553191489362
S1,GMR-Competitive,50,0,DT,0.05666666666666667,0.5914893617021276,0.2,0.5914893617021276
S1,GMR-Competitive,50,0,XGB,0.2595108695652174,0.8051063829787235,0.0,0.5
S1,GMR-Competitive,50,1,KNN,0.12717391304347825,0.7629787234042553,0.0,0.4978723404255319
S1,GMR-Competitive,50,1,RF,0.29405594405594404,0.8919148936170214,0.0,0.5
S1,GMR-Competitive,50,1,LR,0.025875470372624075,0.5502127659574467,0.046511627906976744,0.5425531914893617
S1,GMR-Competitive,50,1,DT,0.06666666666666667,0.5936170212765958,0.2222222222222222,0.5936170212765958
S1,GMR-Competitive,50,1,XGB,0.37924836601307194,0.8425531914893617,0.5,0.6978723404255319
S1,GMR-Competitive,50,2,KNN,0.052500000000000005,0.6599999999999999,0.0,0.5
S1,GMR-Competitive,50,2,RF,0.07343980602993885,0.725531914893617,0.0,0.5
S1,GMR-Competitive,50,2,LR,0.025400215118912273,0.5251063829787235,0.05217391304347826,0.5723404255319149
S1,GMR-Competitive,50,2,DT,0.05,0.5893617021276595,0.18181818181818182,0.5893617021276596
S1,GMR-Competitive,50,2,XGB,0.0901194457716197,0.6787234042553192,0.0,0.5
S1,GMR-Competitive,50,3,KNN,0.14305555555555555,0.8557446808510638,0.0,0.5
S1,GMR-Competitive,50,3,RF,0.38602693602693605,0.9595744680851064,0.0,0.5
S1,GMR-Competitive,50,3,LR,0.03182692809325413,0.6238297872340426,0.07272727272727272,0.6851063829787234
S1,GMR-Competitive,50,3,DT,0.05666666666666667,0.5914893617021276,0.2,0.5914893617021276
S1,GMR-Competitive,50,3,XGB,0.22324929971988794,0.9565957446808511,0.0,0.4957446808510638
S2,GMR-Bidirectional,5,42,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,42,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,42,LR,0.6346741838697344,0.46249131944444444,0.46496815286624205,0.475
S2,GMR-Bidirectional,5,42,DT,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,42,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,0,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,0,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,0,LR,0.6425878319593062,0.4790060763888889,0.4815983175604627,0.4864583333333333
S2,GMR-Bidirectional,5,0,DT,0.9989583333333334,0.9989583333333334,0.9989572471324296,0.9989583333333334
S2,GMR-Bidirectional,5,0,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,1,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,1,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,5,1,LR,0.6456117979525646,0.47388020833333333,0.4758909853249476,0.47916666666666663
S2,GMR-Bidirectional,5,1,DT,0.997920997920998,0.9989583333333334,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,5,1,XGB,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,5,2,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,2,RF,1.0,1.0,0.997920997920998,0.9979166666666667
S2,GMR-Bidirectional,5,2,LR,0.6514178604060347,0.49206597222222226,0.4892966360856269,0.478125
S2,GMR-Bidirectional,5,2,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,5,2,XGB,0.9998299794533345,0.99984375,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,5,3,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,5,3,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,5,3,LR,0.6488180602450198,0.4840060763888889,0.48478488982161594,0.48854166666666665
S2,GMR-Bidirectional,5,3,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,5,3,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,42,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,42,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,42,LR,0.6346741838697344,0.46249131944444444,0.46496815286624205,0.475
S2,GMR-Bidirectional,10,42,DT,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,42,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,0,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,0,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,0,LR,0.6425878319593062,0.4790060763888889,0.4815983175604627,0.4864583333333333
S2,GMR-Bidirectional,10,0,DT,0.9989583333333334,0.9989583333333334,0.9989572471324296,0.9989583333333334
S2,GMR-Bidirectional,10,0,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,1,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,1,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,10,1,LR,0.6456117979525646,0.47388020833333333,0.4758909853249476,0.47916666666666663
S2,GMR-Bidirectional,10,1,DT,0.997920997920998,0.9989583333333334,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,10,1,XGB,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,10,2,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,2,RF,1.0,1.0,0.997920997920998,0.9979166666666667
S2,GMR-Bidirectional,10,2,LR,0.6514178604060347,0.49206597222222226,0.4892966360856269,0.478125
S2,GMR-Bidirectional,10,2,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,10,2,XGB,0.9998299794533345,0.99984375,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,10,3,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,10,3,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,10,3,LR,0.6488180602450198,0.4840060763888889,0.48478488982161594,0.48854166666666665
S2,GMR-Bidirectional,10,3,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,10,3,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,42,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,42,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,42,LR,0.6346741838697344,0.46249131944444444,0.46496815286624205,0.475
S2,GMR-Bidirectional,20,42,DT,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,42,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,0,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,0,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,0,LR,0.6425878319593062,0.4790060763888889,0.4815983175604627,0.4864583333333333
S2,GMR-Bidirectional,20,0,DT,0.9989583333333334,0.9989583333333334,0.9989572471324296,0.9989583333333334
S2,GMR-Bidirectional,20,0,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,1,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,1,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,20,1,LR,0.6456117979525646,0.47388020833333333,0.4758909853249476,0.47916666666666663
S2,GMR-Bidirectional,20,1,DT,0.997920997920998,0.9989583333333334,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,20,1,XGB,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,20,2,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,2,RF,1.0,1.0,0.997920997920998,0.9979166666666667
S2,GMR-Bidirectional,20,2,LR,0.6514178604060347,0.49206597222222226,0.4892966360856269,0.478125
S2,GMR-Bidirectional,20,2,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,20,2,XGB,0.9998299794533345,0.99984375,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,20,3,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,20,3,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,20,3,LR,0.6488180602450198,0.4840060763888889,0.48478488982161594,0.48854166666666665
S2,GMR-Bidirectional,20,3,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,20,3,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,42,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,42,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,42,LR,0.6346741838697344,0.46249131944444444,0.46496815286624205,0.475
S2,GMR-Bidirectional,50,42,DT,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,42,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,0,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,0,RF,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,0,LR,0.6425878319593062,0.4790060763888889,0.4815983175604627,0.4864583333333333
S2,GMR-Bidirectional,50,0,DT,0.9989583333333334,0.9989583333333334,0.9989572471324296,0.9989583333333334
S2,GMR-Bidirectional,50,0,XGB,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,1,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,1,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,50,1,LR,0.6456117979525646,0.47388020833333333,0.4758909853249476,0.47916666666666663
S2,GMR-Bidirectional,50,1,DT,0.997920997920998,0.9989583333333334,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,50,1,XGB,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,50,2,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,2,RF,1.0,1.0,0.997920997920998,0.9979166666666667
S2,GMR-Bidirectional,50,2,LR,0.6514178604060347,0.49206597222222226,0.4892966360856269,0.478125
S2,GMR-Bidirectional,50,2,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,50,2,XGB,0.9998299794533345,0.99984375,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,50,3,KNN,1.0,1.0,1.0,1.0
S2,GMR-Bidirectional,50,3,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-Bidirectional,50,3,LR,0.6488180602450198,0.4840060763888889,0.48478488982161594,0.48854166666666665
S2,GMR-Bidirectional,50,3,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-Bidirectional,50,3,XGB,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,42,KNN,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,42,RF,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,42,LR,0.6346741838697344,0.46249131944444444,0.46496815286624205,0.475
S2,GMR-DataGated,5,42,DT,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,42,XGB,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,0,KNN,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,0,RF,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,0,LR,0.6425878319593062,0.4790060763888889,0.4815983175604627,0.4864583333333333
S2,GMR-DataGated,5,0,DT,0.9989583333333334,0.9989583333333334,0.9989572471324296,0.9989583333333334
S2,GMR-DataGated,5,0,XGB,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,1,KNN,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,1,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-DataGated,5,1,LR,0.6456117979525646,0.47388020833333333,0.4758909853249476,0.47916666666666663
S2,GMR-DataGated,5,1,DT,0.997920997920998,0.9989583333333334,0.9989594172736732,0.9989583333333334
S2,GMR-DataGated,5,1,XGB,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-DataGated,5,2,KNN,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,2,RF,1.0,1.0,0.997920997920998,0.9979166666666667
S2,GMR-DataGated,5,2,LR,0.6514178604060347,0.49206597222222226,0.4892966360856269,0.478125
S2,GMR-DataGated,5,2,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-DataGated,5,2,XGB,0.9998299794533345,0.99984375,0.9989594172736732,0.9989583333333334
S2,GMR-DataGated,5,3,KNN,1.0,1.0,1.0,1.0
S2,GMR-DataGated,5,3,RF,1.0,1.0,0.9989594172736732,0.9989583333333334
S2,GMR-DataGated,5,3,LR,0.6488180602450198,0.4840060763888889,0.48478488982161594,0.48854166666666665
S2,GMR-DataGated,5,3,DT,0.9968793402777778,0.9979166666666668,0.9979166666666667,0.9979166666666667
S2,GMR-DataGated,5,3,XGB,1.0,1.0,1.0,1.0
S2,GMR-DataGated,10,42,KNN,1.0,1.0,1.0,1.0
S2,GMR-DataGated,10,42,RF,1.0,1.0,1.0,1.0
S2,GMR-DataGated,10,42,LR,0.6346741838697344,0.46249131944444444,0.46496815286624205,0.475
S2,GMR-DataGated,10,42,DT,1.0,1.0,1.0,1.0
S2,GMR-DataGated,10,42,XGB,1.0,1.0,1.0,1.0
S2,GMR-DataGated,10,0,KNN,1.0,1.0,1.0,1.0
